標題,連結
臺北小巨蛋廣場租用資訊,https://data.taipei/dataset/detail?id=bcf11ef9-9855-4ee3-8750-ca3df5aaf6c4
臺北捷運廣場各場地活動日期及名稱,https://data.taipei/dataset/detail?id=1d45dbac-3833-4a7c-8a05-ac3272d52f72
臺北市公共管線圖資_廣播系統場站,https://data.taipei/dataset/detail?id=60af881d-e490-484e-bb33-ef00a74ec007
臺北捷運地下人行廣場出租基本資料,https://data.taipei/dataset/detail?id=b1abf6be-41ba-47b9-b0d6-7177e9670cca
臺北市藝文推廣處各場館開放時間,https://data.taipei/dataset/detail?id=51c0b43e-8c03-4085-8a9e-ae3301125780
臺北市行道樹公園綠地廣場認養人資料,https://data.taipei/dataset/detail?id=945309ad-7932-4de3-8a21-9e75f0cb3d51
臺北市客家文化主題公園收費基準表(周邊廣場),https://data.taipei/dataset/detail?id=4484e21c-4771-4d98-aee6-5c5985385cad
臺北市市政大樓及市民廣場場地使用時間及收費基準,https://data.taipei/dataset/detail?id=74eb10dc-eace-4ff3-a892-b37fe71c0dbc
臺北市公園基本資料,https://data.taipei/dataset/detail?id=ea732fb5-4bec-4be7-93f2-8ab91e74a6c6
臺北市客家文化主題公園場地使用收費要點,https://data.taipei/dataset/detail?id=4b686bac-091c-4161-9366-68573846680d
臺北市客家文化主題公園收費基準表(客家文化中心及客家戲劇中心),https://data.taipei/dataset/detail?id=53ebc3f1-fe8e-4232-89bd-08c8f2ab618e
臺北市執行菸害防制法稽查成果,https://data.taipei/dataset/detail?id=ccfd61e8-1632-421c-915d-2a09aaf3bed4
臺北市取締查處各類案件,https://data.taipei/dataset/detail?id=acfd53c1-58c9-41f1-8378-276b91e8588a
臺北市綠資源,https://data.taipei/dataset/detail?id=c9038665-c084-4bd9-a395-15c99bf59cdf
臺北市都市計畫公共用設施用地面積,https://data.taipei/dataset/detail?id=59cea37a-27bb-4e0b-9cae-963d53cf0987
臺北市主要觀光遊憩區遊客人次,https://data.taipei/dataset/detail?id=1ddeff62-8872-441c-aaf2-10fd0515ddb1
臺北市五項公設面積彙整表,https://data.taipei/dataset/detail?id=b9dc370d-1375-4fb2-9e54-08711799cda8
臺北市家庭教育中心(推廣家庭教育)113年度辦理情形,https://data.taipei/dataset/detail?id=a18c679d-bce7-4b82-9cb1-d1a4c4a3c6e2
臺北市婦幼安全警示地點,https://data.taipei/dataset/detail?id=985743f7-a33e-4ac1-ad2e-7ef5ffea02e2
臺北市公共管線圖資_廣播系統其他設施,https://data.taipei/dataset/detail?id=d9766a89-1ee8-4898-bb15-2cf0427da6b1
臺北市公共管線圖資_廣播系統管線,https://data.taipei/dataset/detail?id=69906609-aa2b-4661-9b66-d98c381f6611
